{'placa': 'RUJ1H31', 'ano': 2022, 'marca': 'volkswagem', 'modelo': 'gol'}
{'placa': 'HGB6D28', 'ano': 2016, 'marca': 'volkswagem', 'modelo': 'gol'}
{'placa': 'JWX3W83', 'ano': 2008, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'QPC3D96', 'ano': 2006, 'marca': 'fiat', 'modelo': 'moby'}
{'placa': 'MTM3G90', 'ano': 2009, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'OSG6D60', 'ano': 2008, 'marca': 'volkswagem', 'modelo': 'gol'}
{'placa': 'QKA5J64', 'ano': 2017, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'PMJ7J67', 'ano': 2018, 'marca': 'volkswagem', 'modelo': 'polo'}
{'placa': 'IIT7A72', 'ano': 2015, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'ELS5Z63', 'ano': 2016, 'marca': 'fiat', 'modelo': 'pulse'}
{'placa': 'LDL4Q47', 'ano': 2019, 'marca': 'volkswagem', 'modelo': 'polo'}
{'placa': 'PMV6V38', 'ano': 2008, 'marca': 'volkswagem', 'modelo': 'polo'}
{'placa': 'YWQ3H55', 'ano': 2000, 'marca': 'chevrolet', 'modelo': 'cruze'}
{'placa': 'HRO9G11', 'ano': 2012, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'BEP1S37', 'ano': 2006, 'marca': 'fiat', 'modelo': 'pulse'}
{'placa': 'BLX2K16', 'ano': 2011, 'marca': 'fiat', 'modelo': 'pulse'}
{'placa': 'OHO7Y14', 'ano': 2006, 'marca': 'volkswagem', 'modelo': 'gol'}
{'placa': 'SDO1W38', 'ano': 2014, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'ZNO3D09', 'ano': 2014, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'CHK5C48', 'ano': 2004, 'marca': 'volkswagem', 'modelo': 'polo'}
{'placa': 'UJI1P66', 'ano': 2016, 'marca': 'chevrolet', 'modelo': 'camaro'}
{'placa': 'PBS2V33', 'ano': 2008, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'QMA9Q74', 'ano': 2009, 'marca': 'fiat', 'modelo': 'moby'}
{'placa': 'SFV2D41', 'ano': 2012, 'marca': 'chevrolet', 'modelo': 'camaro'}
{'placa': 'UPI9C37', 'ano': 2022, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'BHM8E85', 'ano': 2022, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'CLE0Q21', 'ano': 2012, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'IRW5P67', 'ano': 2001, 'marca': 'volkswagem', 'modelo': 'polo'}
{'placa': 'EEQ8G73', 'ano': 2010, 'marca': 'fiat', 'modelo': 'argo'}
{'placa': 'JPE0X84', 'ano': 2019, 'marca': 'volkswagem', 'modelo': 'polo'}
{'placa': 'UMD6J12', 'ano': 2006, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'WAG9J62', 'ano': 2008, 'marca': 'fiat', 'modelo': 'pulse'}
{'placa': 'PHS9W08', 'ano': 2000, 'marca': 'chevrolet', 'modelo': 'cruze'}
{'placa': 'POU1T23', 'ano': 2014, 'marca': 'fiat', 'modelo': 'moby'}
{'placa': 'PKF1T41', 'ano': 2000, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'XGG3T25', 'ano': 2003, 'marca': 'fiat', 'modelo': 'moby'}
{'placa': 'ODU8W49', 'ano': 2019, 'marca': 'chevrolet', 'modelo': 'onix'}
{'placa': 'DIJ4C66', 'ano': 2014, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'AMW8F18', 'ano': 2004, 'marca': 'chevrolet', 'modelo': 'camaro'}
{'placa': 'YOY6X05', 'ano': 2010, 'marca': 'volkswagem', 'modelo': 'jetta'}
{'placa': 'VDE7J77', 'ano': 2019, 'marca': 'volkswagem', 'modelo': 'jetta'}
